AUM,EXPENSE_RATIO,FUND,ISSUER,RETURN_10YR,RETURN_1YR,RETURN_3YR,RETURN_5YR,SEGMENT,TICKER
2530473435.0,15.0,iShares Edge MSCI USA Value Factor ETF,['BlackRock'],,0.333702,0.102639,,Equity: U.S.  -  Total Market Value,VLUE
2384514250.0,26.0,iShares Short Maturity Bond ETF,['BlackRock'],,0.015419,0.009307,,Fixed Income: U.S.  - Broad Market Investment Grade Short-Term,NEAR
2214893902.3668,40.0,ALPS Sector Dividend Dogs ETF,['ALPS'],,0.287765,0.12996,,Equity: U.S.  -  Large Cap,SDOG
2175459131.96207,32.0,Schwab Fundamental US Large Co. Index ETF,['Charles Schwab'],,0.265195,0.100584,,Equity: U.S.  -  Large Cap,FNDX
2126880340.0,30.0,iShares 0-5 Year High Yield Corporate Bond ETF,['BlackRock'],,0.162245,0.030982,,Fixed Income: U.S.  - Corporate High Yield Short-Term,SHYG
2106862335.0,15.0,iShares Edge MSCI USA Momentum Factor ETF,['BlackRock'],,0.189843,0.108534,,Equity: U.S.  -  Total Market,MTUM
2100901530.0,38.0,WisdomTree SmallCap Dividend Fund,['WisdomTree'],0.07111,0.386161,0.106497,0.143903,Equity: U.S.  -  Small Cap,DES
2077470000.0,55.0,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,['PIMCO'],,0.200163,0.03477,0.055624,Fixed Income: U.S.  - Corporate High Yield Short-Term,HYS
1963451380.0,28.0,WisdomTree LargeCap Dividend Fund,['WisdomTree'],0.064818,0.245416,0.112432,0.130941,Equity: U.S.  -  Large Cap,DLN
1914429623.558,35.0,Guggenheim S&P 500 Pure Growth ETF,['Guggenheim'],0.096307,0.207457,0.068532,0.138907,Equity: U.S.  -  Large Cap Growth,RPG
1806040205.48525,12.0,SPDR Bloomberg Barclays Intermediate Term Corporate Bond ETF,['State Street Global Advisors'],,0.041698,0.028427,0.030596,Fixed Income: U.S.  -  Corporate Investment Grade Intermediate,ITR
1778942257.946,45.0,First Trust Morningstar Dividend Leaders Index Fund,['First Trust'],0.060311,0.231493,0.136276,0.146202,Equity: U.S.  -  High Dividend Yield,FDL
1722509041.11,37.0,FlexShares Quality Dividend Index Fund,['Northern Trust'],,0.267715,0.109823,,Equity: U.S.  -  Total Market,QDF
1672759000.0,63.0,PowerShares Financial Preferred Portfolio,['Invesco PowerShares'],0.041821,0.072938,0.079688,0.072226,Fixed Income: U.S.  -  Corporate Preferred Stock,PGF
1646751150.0,39.0,PowerShares FTSE RAFI US 1500 Small-Mid Portfolio,['Invesco PowerShares'],0.086811,0.394369,0.083748,0.132411,Equity: U.S.  -  Extended Market,PRFZ
1600572351.0,7.0,Vanguard Mega Cap Value Index Fund,['Vanguard'],,0.275483,0.114707,0.142191,Equity: U.S.  -  Large Cap Value,MGV
1565510862.699,32.0,Schwab Fundamental US Small Co. Index ETF,['Charles Schwab'],,0.372058,0.091667,,Equity: U.S.  -  Small Cap,FNDA
1553656353.75,61.0,First Trust Large Cap Core AlphaDEX Fund,['First Trust'],,0.276493,0.091274,0.13098,Equity: U.S.  -  Large Cap,FEX
1495973609.96,7.0,Vanguard Long-Term Corporate Bond Index Fund,['Vanguard'],,0.119312,0.064091,0.052079,Fixed Income: U.S.  -  Corporate Investment Grade Long-Term,VCLT
1445238300.0,64.0,PowerShares DWA Momentum Portfolio,['Invesco PowerShares'],,0.182776,0.063923,0.118702,Equity: U.S.  -  Total Market,PDP
1420266200.0,63.0,PowerShares Buyback Achievers Portfolio,['Invesco PowerShares'],0.084894,0.262273,0.085868,0.144128,Equity: U.S.  -  Total Market,PKW
1393436250.0,15.0,Vanguard S&P 500 Growth Index Fund,['Vanguard'],,0.218876,0.109606,0.141589,Equity: U.S.  -  Large Cap Growth,VOOG
1348187970.0,5.0,iShares Core S&P U.S. Value ETF,['BlackRock'],0.058021,0.316456,0.102946,0.13899,Equity: U.S.  -  Total Market Value,IUSV
1297868670.0,38.0,WisdomTree High Dividend Fund,['WisdomTree'],0.055714,0.213477,0.116609,0.133658,Equity: U.S.  -  High Dividend Yield,DHS
1245544125.0,8.0,iShares Core Dividend Growth ETF,['BlackRock'],,0.255376,,,Equity: U.S.  -  Total Market,DGRO
1245331720.0,5.0,iShares Core S&P U.S. Growth ETF,['BlackRock'],0.084068,0.234911,0.103947,0.135425,Equity: U.S.  -  Total Market Growth,IUSG
1238334088.53532,15.0,SPDR S&P 600 Small Cap Growth ETF,['State Street Global Advisors'],0.098754,0.363571,0.106869,0.147145,Equity: U.S.  -  Small Cap Growth,SLYG
1228934850.0,57.0,PowerShares Dynamic Large Cap Value Portfolio,['Invesco PowerShares'],0.067282,0.309073,0.110205,0.138846,Equity: U.S.  -  Large Cap Value,PWV
1223178470.0,28.0,WisdomTree US Quality Dividend Growth Fund,['WisdomTree'],,0.237617,0.112889,,Equity: U.S.  -  Total Market,DGRW
1174467750.0,29.0,PowerShares S&P 500 Quality Portfolio,['Invesco PowerShares'],0.05499,0.206958,0.1281,0.143562,Equity: U.S.  -  Large Cap,SPHQ
1166253400.0,50.0,Powershares Fundamental High Yield Corporate Bond Portfolio,['Invesco PowerShares'],,0.16293,0.036456,0.048658,Fixed Income: U.S.  -  Corporate High Yield,PHB
1161212500.0,7.0,Vanguard Mega Cap Index Fund,['Vanguard'],,0.256869,0.110536,0.139869,Equity: U.S.  -  Large Cap,MGC
1153952902.23306,8.0,SPDR Bloomberg Barclays Aggregate Bond ETF,['State Street Global Advisors'],,0.011897,0.026582,0.020821,Fixed Income: U.S.  - Broad Market Investment Grade ,BNDS
1144967835.0,15.0,iShares U.S. Credit Bond ETF,['BlackRock'],0.050034,0.056505,0.035523,0.032853,Fixed Income: U.S.  -  Corporate Investment Grade,CRED
1138815000.0,50.0,PowerShares Variable Rate Preferred Portfolio,['Invesco PowerShares'],,0.158907,,,Fixed Income: U.S.  - Corporate Preferred Stock Floating Rate,VRP
1124045500.0,54.0,PowerShares High Yield Equity Dividend Achievers Portfolio,['Invesco PowerShares'],0.047948,0.350678,0.177785,0.169029,Equity: U.S.  -  High Dividend Yield,PEY
1103957430.0,20.0,iShares Dow Jones U.S. ETF,['BlackRock'],0.058923,0.266687,0.103023,0.128732,Equity: U.S.  -  Total Market,IYY
1055781247.912,35.0,Guggenheim S&P 500 Pure Value ETF,['Guggenheim'],0.077272,0.358953,0.09481,0.156817,Equity: U.S.  -  Large Cap Value,RPV
1050323500.0,43.0,Guggenheim BulletShares 2018 High Yield Corporate Bond ETF,['Guggenheim'],,0.134341,0.022882,,Fixed Income: U.S.  - Corporate High Yield Short-Term,BSJI
1041079014.19326,15.0,SPDR S&P 600 Small Cap Value ETF,['State Street Global Advisors'],0.082057,0.414751,0.104501,0.142287,Equity: U.S.  -  Small Cap Value,SLYV
1012061500.0,15.0,Vanguard Russell 2000 Index Fund,['Vanguard'],,0.400973,0.077336,0.125511,Equity: U.S.  -  Small Cap,VTWO
1012034101.2034,25.0,FlexShares Morningstar US Market Factor Tilt Index Fund,['Northern Trust'],,0.317147,0.096473,0.137408,Equity: U.S.  -  Total Market,TILT
1008117000.0,12.0,Vanguard Russell 1000 Value Index Fund,['Vanguard'],,0.297156,0.101126,0.138844,Equity: U.S.  -  Large Cap Value,VONV
1006787962.7,12.0,Vanguard Russell 1000 Growth Index Fund,['Vanguard'],,0.228238,0.107751,0.137236,Equity: U.S.  -  Large Cap Growth,VONG
1004356699.688,62.0,First Trust Large Cap Value AlphaDEX Fund,['First Trust'],,0.371035,0.095972,0.12887,Equity: U.S.  -  Large Cap Value,FTA
991452297.8,49.0,VanEck Vectors Morningstar Wide Moat ETF,['VanEck'],,0.337715,0.111963,,Equity: U.S.  -  Total Market,MOAT
982017450.0,24.0,Guggenheim BulletShares 2018 Corporate Bond ETF,['Guggenheim'],,0.025549,0.018367,,Fixed Income: U.S.  -  Corporate Investment Grade Short-Term,BSCI
949193800.0,25.0,PowerShares S&P SmallCap Low Volatility Portfolio,['Invesco PowerShares'],,0.358556,0.149355,,Equity: U.S.  -  Small Cap,XSLV
945378000.0,21.0,Fidelity NASDAQ Composite Tracking Stock,['Fidelity'],0.097692,0.311825,0.122182,0.158732,Equity: U.S.  -  Total Market,ONEQ
931366125.0,38.0,WisdomTree Dividend ex-Financials Fund,['WisdomTree'],0.069816,0.22373,0.10152,0.12659,Equity: U.S.  -  Large Cap,DTN
920146650.0,25.0,PowerShares S&P MidCap Low Volatility Portfolio,['Invesco PowerShares'],,0.28567,0.155782,,Equity: U.S.  -  Mid Cap,XMLV
873056250.0,24.0,Guggenheim BulletShares 2019 Corporate Bond ETF,['Guggenheim'],,0.037249,0.025476,,Fixed Income: U.S.  -  Corporate Investment Grade Short-Term,BSCJ
860961000.0,60.0,iShares Micro-Cap ETF,['BlackRock'],0.038973,0.390754,0.0489,0.119164,Equity: U.S.  -  Micro Cap,IWC
859944250.0,25.0,PowerShares S&P 500 High Beta Portfolio,['Invesco PowerShares'],,0.537224,0.086246,0.125898,Equity: U.S.  -  Large Cap,SPHB
839290085.0,15.0,SPDR Bloomberg Barclays Investment Grade Floating Rate ETF,['State Street Global Advisors'],,0.022439,0.008408,0.006028,Fixed Income: U.S.  - Broad Market Investment Grade Floating Rate,FLRN
815624160.0,20.0,iShares 10+ Year Credit Bond ETF,['BlackRock'],,0.100776,0.056397,0.046823,Fixed Income: U.S.  -  Corporate Investment Grade Long-Term,CLY
808048150.0,20.0,iShares Russell Top 200 Growth ETF,['BlackRock'],,0.225459,0.121593,0.143252,Equity: U.S.  -  Large Cap Growth,IWY
802022400.0,24.0,Guggenheim BulletShares 2017 Corporate Bond ETF,['Guggenheim'],,0.013249,0.011374,0.024028,Fixed Income: U.S.  - Corporate Investment Grade Ultra-Short Term,BSCH
792696300.0,38.0,WisdomTree MidCap Earnings Fund,['WisdomTree'],0.093072,0.323687,0.085837,0.133022,Equity: U.S.  -  Mid Cap,EZM
786585275.0,50.0,iShares MSCI KLD 400 Social ETF,['BlackRock'],0.067602,0.241339,0.093014,0.131583,Equity: U.S.  -  Total Market,DSI
